time,mode,numberOfThreads,width,height,maxIterations,filledFieldsInPercent
27132,parallel_without_zones,4,1001,1001,51,80
40602,parallel_with_zones,4,1001,1001,51,80
3556,parallel_with_zones,20,200,200,100,80
3645,parallel_with_zones,20,200,200,100,80
1725,parallel_without_zones,20,200,200,100,80
3254,parallel_with_zones,20,200,200,100,80
3086,parallel_with_zones,20,200,200,100,80
3138,parallel_with_zones,20,200,200,100,80
3389,parallel_with_zones,20,200,200,100,80
630,parallel_with_zones,4,20,20,100,80
594,parallel_with_zones,4,20,20,100,80
929,parallel_with_zones,5,100,100,100,80
1153,parallel_with_zones,5,100,100,100,80
934,parallel_with_zones,5,100,100,100,80
611,parallel_with_zones,5,100,100,100,80
12247,parallel_with_zones,5,400,400,100,80
11664,parallel_with_zones,5,400,400,100,80
3169,parallel_with_zones,5,200,200,100,80
36386,parallel_with_zones,5,200,200,1000,80
3417,parallel_with_zones,20,200,200,100,80
48743,parallel_without_zones,20,1000,1000,100,80
7735,parallel_with_zones,20,1000,1000,100,80
705,parallel_with_zones,3,1000,1000,4,80
